company,job_categories,keyword,max_salary,min_salary,requirements,responsibilities,seniority,title,url
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"Banking and Finance, General Management",Business Analyst,3500,2800,"Skill Set Requirement:  Diploma/Degree in Business or Finance Minimum 1-year experience in back office support role, preferred banking sector or related field Knowledgeable and/or experienced in operations, account documentation, risk management, AML and good knowledge in Know Your Client (KYC) procedures Meticulous and able to maintain integrity as you will be exposed to data and information Fast learner, independent and a team player Good communication skills and ability to start on short notice period Able to commit 6 months contract  ** We regret to inform that only shortlisted candidates will be notified. We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at 6232 8811 (EA License: 02C3423) Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012."," Provide back office support for a banking sector in Singapore carry out functions such as settlements, clearances, record maintenance, regulatory compliance Provide account periodic reviews and perform due diligence checks on data, SOP and workflows Analyze information received and assess additional steps required to complete KYC as per procedures Document findings and ensure this is adequate for quality checks and audits Able to meet timelines and turn around completed cases to meet service level agreements without compromising on quality Monitor document deficiencies as per client control procedures and perform other duties assigned from time to time ","Fresh/entry level, Non-executive",Business Process Analyst (6 months),https://www.mycareersfuture.sg/job/18a0fec421063ce8ba05e38d35c32162
OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Information Technology,Business Analyst,13000,8000,Primary Skills : Regulatory Reporting specific for MAS610 and HKMA reporting. Over experience - 8+ years,"Optimum Solutions (Company Registration Number: 199700895N), is a full spectrum Software Solutions and Services Company. Software services from Optimum are designed to deliver Enterprise Client-Server/ Multi-tier and Web based solutions across the entire value chain, spanning on-site consulting services to turnkey software projects. We started our operations in March 1997. MAS610 and HKMA reporting-  ",Middle Management,Senior Business Consultant / Analyst - MAS / HKAM,https://www.mycareersfuture.sg/job/71c7d6a91a3277f094b47c4abd7ec39c
EMSON SYSTEMS (S) PTE. LTD.,Information Technology,Business Analyst,5000,4000,"Qualifications  Degree / Diploma with a minimum of 6 years of hands-on experience in systems analysis, system design, systems development and system quality assurance in Data Warehousing and Statistical Applications.   Experience & Skills   At least 6 years of hands-on experience in systems analysis, system design, systems development and system quality assurance in Data Warehousing and Statistical Applications.   For support of the Statistical Systems, the candidate shall have the following:                 - Required to service ad-hoc and urgent statistical requests.              - Required to maintain/enhance the statistical and survey system              - Experienced in data warehouse projects              - Have relevant working experience in the following platforms and programming                         languages:                        (Please state number of years of relevant working experience below):                               - IBM Mainframe MVS/ESA                              - Easytrieve Plus                              - SAS                              - Teradata                              - Microsoft SQL Server                              - Microsoft SQL DTS/SSIS                              - Visual Basic 6                              - Win 2000 or later                              - SPSS   For support of the Data Warehouse Systems, the candidate shall have the following:               - Experienced in data warehouse design, development and its maintenance               - Experienced in data loading and its process               - Experienced in data model and the use of data modelling tool               - Have relevant working experience in the following platforms and Programming                          languages:                        ( Please state number of years of relevant working experience below)                        - Teradata                        - IBM Mainframe MVS/ESA                        - Oracle Data Integrator                        - Microsoft SQL DTS/SSIS                        - Microsoft SQL Server                        - SPSS                        - SAS                        - Tableau    Good programming experience with analytical and communication skills and able to deal effectively end-users at all level.  Interested candidates send us your resume as an e-mail to  hr@emson.com.sg and mention in the subject  System Analyst – Business Intelligence     Contact Information:     EMSON Systems (S) Pte. Ltd.  8 Burn Road  #15-03 Trivex  Singapore 369977  Tel: (+65) 6509 5459  Fax: (+65) 6509 3701  Email id: hr@emson.com.sg  Website: www.emson.com.sg","Job Description  Able to work independently in gathering requirements from users, designing, implementation, maintaining application systems and project management. System Analysis, design, code, modify, test, correct and document new and existing programs using assigned languages, tools and coding conventions. Analyze the program specification to produce all testing condition and produce test data based on identified test conditions. Prepare the needed test data for performing the various tests, eg stress test, regression test, performance test etc. Prepare and maintain program and system documentation. Assist in establishing file structures and processing logic requirements. Produce deliverables according to departmental standards and procedures. Assist project leaders in the study and design of application systems and work coordination, project management and user training work. Troubleshooting and supporting end-users in the implementation and maintenance of application systems. Participate in Disaster Recovery activities eg simulation exercises at disaster recovery site. Learn / pick up new programming skills related to system development and maintenance as assigned by the supervisors. Any other tasks related to system development and maintenance as may be assigned by the supervisors.  ",Non-executive,System Analyst - Business Intelligence,https://www.mycareersfuture.sg/job/e4baf830503070594d4b1153066e1293
EMSON SYSTEMS (S) PTE. LTD.,Information Technology,Business Analyst,5000,4000,"Qualifications  Degree / Diploma with a minimum of 6 years of hands-on experience in systems analysis, system design, systems development and system quality assurance in Data Warehousing and Statistical Applications.   Experience & Skills   At least 6 years of hands-on experience in systems analysis, system design, systems development and system quality assurance in Data Warehousing and Statistical Applications.   For support of the Statistical Systems, the candidate shall have the following:                - Required to service ad-hoc and urgent statistical requests.             - Required to maintain/enhance the statistical and survey system             - Experienced in data warehouse projects             - Have relevant working experience in the following platforms and programming                         languages:                       (Please state number of years of relevant working experience below):                              - IBM Mainframe MVS/ESA                             - Easytrieve Plus                             - SAS                             - Teradata                             - Microsoft SQL Server                             - Microsoft SQL DTS/SSIS                             - Visual Basic 6                             - Win 2000 or later                             - SPSS  For support of the Data Warehouse Systems, the candidate shall have the following:               - Experienced in data warehouse design, development and its maintenance              - Experienced in data loading and its process              - Experienced in data model and the use of data modelling tool              - Have relevant working experience in the following platforms and Programming                          languages:                      ( Please state number of years of relevant working experience below)                       - Teradata                       - IBM Mainframe MVS/ESA                       - Oracle Data Integrator                       - Microsoft SQL DTS/SSIS                       - Microsoft SQL Server                       - SPSS                       - SAS                       - Tableau   Good programming experience with analytical and communication skills and able to deal effectively end-users at all level.  Interested candidates send us your resume as an e-mail to  hr@emson.com.sg and mention in the subject  System Analyst – Business Intelligence    Contact Information:   EMSON Systems (S) Pte. Ltd. 8 Burn Road #15-03 Trivex Singapore 369977 Tel: (+65) 6509 5459 Fax: (+65) 6509 3701 Email id: hr@emson.com.sg Website: www.emson.com.sg","Job Description  Able to work independently in gathering requirements from users, designing, implementation, maintaining application systems and project management. System Analysis, design, code, modify, test, correct and document new and existing programs using assigned languages, tools and coding conventions. Analyze the program specification to produce all testing condition and produce test data based on identified test conditions. Prepare the needed test data for performing the various tests, eg stress test, regression test, performance test etc. Prepare and maintain program and system documentation. Assist in establishing file structures and processing logic requirements. Produce deliverables according to departmental standards and procedures. Assist project leaders in the study and design of application systems and work coordination, project management and user training work. Troubleshooting and supporting end-users in the implementation and maintenance of application systems. Participate in Disaster Recovery activities eg simulation exercises at disaster recovery site. Learn / pick up new programming skills related to system development and maintenance as assigned by the supervisors. Any other tasks related to system development and maintenance as may be assigned by the supervisors.  ",Non-executive,System Analyst - Business Intelligence,https://www.mycareersfuture.sg/job/35f579b6257cef7ccb17dd1641224d9b
DBS BANK LTD.,Banking and Finance,Business Analyst,4600,2550, Degree in any field with at least 1-2yrs of banking experience. Basic knowledge of ledger entries posting. Able to prioritize and multi task. Details oriented and meticulous. Team player who is able to work independently. Able to communicate/handle both internal/external customer on the day to day BAU process. Proficient in MS Office applications. , To prepare & monitor payment and receipt instructions for financial settlement. To reconcile ledgers on a monthly basis. To investigate self service banking transactions. To report outstanding investigation status on a monthly basis.  ,"Executive, Junior Executive","Analyst, Reconciliation & Investigation Officer, SSB Business Ops, T&O (18000186)",https://www.mycareersfuture.sg/job/cf237d9877df25b02cb27fe135473654
CAPITA PTE. LTD.,Information Technology,Business Analyst,4500,3000,"Requirements:  Ability to work on BI projects with minimal intervention  Ability to develop an SSIS package with advanced features At least 3 years’ experience in Microsoft SSIS, SSAS and SSRS Skills in Microsoft Azure, Power BI and Tableau are a plus  Strong data modeling skills demonstrated through industry experience Designing and delivering data-flow and process-based systems Delivering a solution through a complete development lifecycle Proficient in documentation and technical requirements based on business requirements  Able to work with various business teams both internal and external    Interested candidates, please click the Äpply Now"" below Only shortlisted applicants will be notified by our consultants. CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272",Responsibilities:   Support data extraction / analytical requests relating to marketing program activities Support analytical report development and enhancement Develop and maintain Data Warehouse/Data Mart Handle large complex data from different source using DA tools ,Executive,Business Intelligence and Reporting Analyst,https://www.mycareersfuture.sg/job/02da8ddd94651b72c646c4d8a45dd1c0
CAPITA PTE. LTD.,Information Technology,Business Analyst,4500,3000,"Requirements:  Ability to work on BI projects with minimal intervention  Ability to develop an SSIS package with advanced features At least 3 years’ experience in Microsoft SSIS, SSAS and SSRS Skills in Microsoft Azure, Power BI and Tableau are a plus  Strong data modeling skills demonstrated through industry experience Designing and delivering data-flow and process-based systems Delivering a solution through a complete development lifecycle Proficient in documentation and technical requirements based on business requirements  Able to work with various business teams both internal and external    Interested candidates, please click the Äpply Now"" below Only shortlisted applicants will be notified by our consultants. CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272",Responsibilities:   Support data extraction / analytical requests relating to marketing program activities Support analytical report development and enhancement Develop and maintain Data Warehouse/Data Mart Handle large complex data from different source using DA tools ,Executive,Business Intelligence and Reporting Analyst,https://www.mycareersfuture.sg/job/737505524ad194f529a59ac0baa7208c
CAPITA PTE. LTD.,Information Technology,Business Analyst,4500,3000,"Requirements:  Ability to work on BI projects with minimal intervention  Ability to develop an SSIS package with advanced features At least 3 years’ experience in Microsoft SSIS, SSAS and SSRS Skills in Microsoft Azure, Power BI and Tableau are a plus  Strong data modeling skills demonstrated through industry experience Designing and delivering data-flow and process-based systems Delivering a solution through a complete development lifecycle Proficient in documentation and technical requirements based on business requirements  Able to work with various business teams both internal and external    Interested candidates, please click the Äpply Now"" below Only shortlisted applicants will be notified by our consultants. CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272",Responsibilities:   Support data extraction / analytical requests relating to marketing program activities Support analytical report development and enhancement Develop and maintain Data Warehouse/Data Mart Handle large complex data from different source using DA tools ,Executive,Business Intelligence and Reporting Analyst,https://www.mycareersfuture.sg/job/429dbb7537fb32aad97e1e7afbcd0464
GOLDMAN SACHS (SINGAPORE) PTE.,Banking and Finance,Business Analyst,6500,4500,"QUALIFICATIONS  College degree from a reputable university Excellent verbal and written communication skills Meticulous attention to detail and strong organizational skills Ability to demonstrate exceptional analytical skills, lateral thinking, and judgment A proactive approach and a high level of enthusiasm and motivation for the financial markets Excellent skills in Microsoft Office applications (Excel, Word, PowerPoint) Ability to meet aggressive deadlines and work under pressure A high level of proficiency in Mandarin as this role requires interaction with Mandarin speaking colleagues and clients  *This is an opportunity in our 2018 campus analyst program Goldman Sachs is an equal opportunity employer. © The Goldman Sachs Group, Inc., 2018. All rights reserved.","YOUR IMPACT Are you passionate about research and generating investment ideas?  We’re looking for a professional to join our Asia Analyst Research Training (ART) program team, who want to work with their teams and senior analysts to develop valuable insights and investment ideas for our clients. OUR IMPACT From macroeconomic forecasts to individual stock analysis, our team develops tools and insights to help shape investment strategies for clients and the firm. Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the world each day to identify game-changing insights. You’ll be part of a team that is intellectually curious, creative, analytical, and passionate about performing market research. The Analyst Research Training (ART) program for Asia Pacific Equity Research is based in Singapore and is one of GIR’s main platforms for the learning and development of our junior talent in Asia. The role of the GIR Business Analyst is to support the Asia Pacific Equity Research team by compiling, summarizing, analyzing, and synthesizing data and other information to develop valuable insights and investment ideas for our clients. The role will focus not only on quantitative tasks such as developing financial and industry models, but also on contributions to the preparation and production of fundamental equity research reports.  The Analyst Research Training (ART) program is two years in length. Upon the completion of an initial four week training program in Singapore, participants will be assigned to an equity research sector or thematic team. All roles are considered equal, and BAs are recruited to the program and placed in the team which best matches their skill set. All BAs will also participate in professional continuing education for the duration of the two-year program HOW YOU WILL FULFILL YOUR POTENTIAL  Provide integral support to single stock research teams Build, maintain and update company forecasts and valuation models Conduct market share, macro trend, and cross company and sub sector data analysis Work closely with Content Management Group to ensure timely publication of research reports Prepare and produce insightful company specific projects  Perform statistical analysis of economic data, fundamentals, and relevant correlations of the data Listen to and produce briefing notes on companies’ conference calls and analyst briefings Attend morning calls and contribute as necessary Update monthly reports, marketing books, and daily valuation sheets Respond to ad hoc requests from clients, sales and traders Attend client meetings with their senior analyst in Singapore (or other offices if possible) ",Fresh/entry level,2018 Full Time Campus Analyst - Global Investment Research Division,https://www.mycareersfuture.sg/job/6176eb027e8ff7d0cd27c42d4c7c08eb
TANGSPAC CONSULTING PTE LTD,Information Technology,Business Analyst,11000,9500,"Good Understanding of Private Banking Business, PMS system implementations, Best practices and Industry needs. Extensively worked on Temenos TripleA Plus product. Ability to configure Triple'A plus (System parameters, lists, classifications, strategies, constraints, input controls, default value, filters, ud fields, users and security profiles etc.). Hands-on experience of Triple'A plus GUI development (Format, Pre-comp Format, Custom Screen, Order management customization, Performance analysis etc.) Hands-on experience of TripleA plus Web oData and TSL. Hands-on experience of Triple'A plus User access control functionalities. Hands-on experience of Triple'A plus Advanced performance analysis and Performance storage. Experienced in requirement gathering. Extensively worked  on Actuate 11.0,10.0, 8.0 and 7.0 Working knowledge of Oracle, PL/SQL and Sybase. Working knowledge of UNIX. Hands on Experience on working with version control tools like WINCVS and SVN. An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. Possess a flexible & detail oriented attitude with credibility & personal integrity that leaves lasting impressions with corporate decision makers. Exposure to CMMI Level 5 quality processes and document. Mentored and supported junior team members to develop their TAP skill.","Our client a financial institution is looking out for a Triple A Senior Application Analyst to handle the following responsibilities: Support, develop and deploy the core version of AAA application and its related projects Be the main point of contact for business analyst team (thus translating the portfolio management policy of the bank into the system) Write technical specifications and deliveries to the technical teams(Java, Unix, WTX, Actuate teams) Design and perform test campaigns. Understanding business requirements, recommending solutions and improvements",Senior Executive,Senior Application Analyst (Triple A plus),https://www.mycareersfuture.sg/job/f2f2c74d53306c0252f0b80975c44b65
TANGSPAC CONSULTING PTE LTD,Information Technology,Business Analyst,10500,9000,"Good Understanding of Private Banking Business, PMS system implementations, Best practices and Industry needs. Extensively worked on Temenos TripleA Plus product. Ability to configure Triple'A plus (System parameters, lists, classifications, strategies, constraints, input controls, default value, filters, ud fields, users and security profiles etc.). Hands-on experience of Triple'A plus GUI development (Format, Pre-comp Format, Custom Screen, Order management customization, Performance analysis etc.) Hands-on experience of TripleA plus Web oData and TSL. Hands-on experience of Triple'A plus User access control functionalities. Hands-on experience of Triple'A plus Advanced performance analysis and Performance storage. Experienced in requirement gathering. Extensively worked  on Actuate 11.0,10.0, 8.0 and 7.0 Working knowledge of Oracle, PL/SQL and Sybase. Working knowledge of UNIX. Hands on Experience on working with version control tools like WINCVS and SVN. An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. Possess a flexible & detail oriented attitude with credibility & personal integrity that leaves lasting impressions with corporate decision makers. Exposure to CMMI Level 5 quality processes and document. Mentored and supported junior team members to develop their TAP skill.","Our client a financial institution is looking out for a Triple A Senior Application Analyst to handle the following responsibilities: Support, develop and deploy the core version of AAA application and its related projects Be the main point of contact for business analyst team (thus translating the portfolio management policy of the bank into the system) Write technical specifications and deliveries to the technical teams(Java, Unix, WTX, Actuate teams) Design and perform test campaigns. Understanding business requirements, recommending solutions and improvements",Senior Executive,Senior Application Analyst (Triple A plus),https://www.mycareersfuture.sg/job/cf2fbe39dcf919bd5532a7cb4cad468d
AVIVA LTD,Insurance,Business Analyst,4500,3000,"QUALIFICATIONS (This should include any mandatory MAS qualifications.)  University Graduate / Tertiary qualification preferred.    KNOWLEDGE/EXPERIENCE  Good Knowledge of insurance and products and processes Well versed in Life400, imaging systems & MS office software applications Business analysis, problem solving & facilitation skills Experience as User Acceptance Tester or Business Analyst in a Life insurance or Healthcare insurance or Unit Trust and/or full UAT Test lifecycle knowledge If supervising of a small team is expected, then previous experience mentoring and managing a small team of UAT testers will be preferred ","PURPOSE OF THE ROLE  This role is a key development resource in the delivery of Aviva Ltd’s work requests, product launches and projects. The delivery of User Acceptance Testing (UAT) will cover all Business Units (BU) within Customer Service (CS). The person must participate and involve in discussions with BU’s functional process owners and team members in order to identify process and system requirements for product and channel initiatives. With good understanding of the user requirements, execute UAT in the relevant applications or programs to ensure that the systems are tested appropriately and accurately for the operation’s or BUs’ use. Person who is of higher level under the role or of higher competency is expected and will be assigned with work requests of higher complexity or leading projects covering an end to end processing and its UAT independently. For senior levels, they may be expected to lead a team of junior staff or Business Support Executives.    ACCOUNTABILITIES Strategic  This role has no responsibility for setting or defining strategy. The role will however be responsible for the implementation of strategic developments.    Operational  All requirements in the Business Requirements Document should be identified where applicable and covered in the UAT. Ensure all user requirements are appropriately and accurately tested and executed in the test plans. All UAT should be completed within the specified timeline and delivery dates.    Effective Risk Management/Governance  Ensure key risks have been understood, identified and managed and/that, where concerns or doubts exist, are raised with line management. All processes must comply with the Aviva’s standards.    RELATIONSHIPS (INTERNAL & EXTERNAL) Key relationships other than those within reporting lines:-  Users or colleagues within Customer Service Other UAT testers Change Management and IT personnel (Project Manager/Business Analyst/Programme Analyst) External Vendors or Contract Testers Other BUs where UAT signoff could be required (where applicable) ",Executive,"Executive, Business Support",https://www.mycareersfuture.sg/job/f05f178c41a8e60f8eed94cf90cfebc3
FUJI XEROX ASIA PACIFIC PTE LTD,Information Technology,Business Analyst,9000,7500," Preferably more than 10 years of work experience in Services Environment (preferable in outsourcing context: IT, Document Production or office services), at least 5 of which should be in Bid Management role. Degree Holder. Strong Project Management skills & background. Experience in leading cross-functional team in complex projects involving solution-design, financial analysis and integration of equipment with services-based business solutions. Significant deal pursuit or Bid Management experience in outsourcing business Proven track record of formulating and selling Services Value propositions at C-level for $10m+ contracts Ability to adhere to strict time-line requirements & able to function well under work pressures ","Job Purpose:  Develop best-in-class proposals that will enable the organisation to win profitable deals in support of IBSS’ business strategies and growth targets. Ensure all bids are compliant with client requirements, able to deliver superior value proposition and will provide sustainable profitable business return. Manage the overall deal pursuit process in partnership with all Stake-holders, including co-ordinating the response to tender, proposal content, Business & Financial Analysis, Solution Design and potential post-sales support. Ensuring 100% adherence to IBSS Deal Governance Process.  Job Responsibilities:  Manage bid teams (typically comprising of Sales professionals, Business Analyst/ Consultants, Solution Architects, Financial Analyst, Commercial & Risk Manager, Legal Manager, Service Transition and Service Delivery professionals, & other subject matter experts as required) to complete deal pursuits within Customer’s required timeline & by closely following IBSS’ Bid Management Pursuit Process (BMPP).   Build feasible project plans to ensure all proposal submission will meet customer required timelines. Ensuring all Bid Team Members fulfil their responsibilities within the schedules.   Ensure all Bid resources are available to complete deal pursuit successfully. For resources & support required from FX Sites or Xerox, to reach out these parties timely to ensure suitable resources are provided in time.   Ensure bid team members are aligned on Win Strategies, Solution Strategies & Pricing Strategies. Resolve any conflicts among team members to ensure good team work in the bid team.   Work closely with bid team members to develop customer proposals that fulfill all critical customer requirements, that clearly showcase FX Solution’ unique selling points, and positively differentiate FX from all other competitions.   To provide clear, up-to-date deal updates & deal-related communications as required to management team, FX Sites & Xerox Team.   To ensure every deal pursuit meet deal governance process   To keep close watch over every aspect of deal pursuits. For critical issues that cannot be resolved timely, to ensure proper escalations are made to management team to get required management attention & support on the critical issues. ",Manager,Regional Bid Manager,https://www.mycareersfuture.sg/job/5d28aa03f7d7a9c1dc135e9338db2e10
EXECUTIT PTE. LTD.,Consulting ,Business Analyst,4000,3000,"Desired Skills and Experience:  Bachelor degree, preferred in Business Administration, Computer Science, Information  Systems and/or related disciplines; Aptitude for quickly ramping up on new technology; Ambition in building future-proof planning solutions and using state of the art technologies; High commitment to quality, reliability and a self-motivating style of working; Very good analytical and problem solving skills; A strong interest in business processes/planning; Team player with a strong ability to network and the drive to achieve tangible results; Fluent in English  ","Junior Business Analyst (Early talent!) Singapore - Full time – Early talent  Executit is a young and growing consulting company, founded in 2015. Executit helps  businesses to plan and model effectively and efficiently in various functions such as  workforce planning, supply chain planning, financial planning, and sales and campaign  planning, to achieve better outcomes. We work exclusively with Anaplan, the next- generation platform, which enables us to create solutions within short time-frames. We are looking for a colleague to contribute to the growth and expansion of Executit.  You should be a business-oriented, curious, and analytical team player who wants to  learn how analytic solutions really help make a difference for our clients. What you’ll be doing:  You will work as a model-developer; contributing in IT-processes from design, test, implementation until maintenance. Contribute in build, maintain and enhance models, and tools for delivering planning services; Support and execute development activities, conduct product evaluations, and provide technical guidance to our clients; Ascertaining the pain points of the client during the process and explaining/communicate smart planning solutions with the aim to exceed the clients expectations and/or to meet the clients specific requirements; Well communicate and build a rapport with client/IT departments and team members.   Why join our Executit Team? We offer you the opportunity to be a part of a fast paced growing start up. Since you are  to work with a small team, you will encounter many challenges, you will learn new skills,  all without the barriers and limitations of big corporations. You will join a group of  enthusiastic and experienced professionals who are extremely motivated to make our  firm a success. Together, we will grow our skills in various functions and across a variety of  industries. You will learn to work with leading technology and become a professional in  analytic solutions. You will experience what it is to build a new firm. Your effort will make  a difference to our clients and you are to help shape our joint future together. Is your ambition aligned with ours, and are you up for something new and exciting? Please apply today by sending in your application to Joanne.zijlmans@executit.com We look forward to meet you!",Fresh/entry level,Junior Data Analyst,https://www.mycareersfuture.sg/job/cc44054a4c29f669f896259aacf859d7
AIA SINGAPORE PRIVATE LIMITED,"Information Technology, Insurance",Business Analyst,5500,3500," Degree in IT or related areas Minimum 5 years of working experience in application development in insurance or banking &   financial industry Knowledge in either mainframe, AS400, COBOL, Control Language and SQL development Prior experience in LIFE/Asia (former Life/400) development is essential PMP certified would be added advantage Strong analytical ability and excellent communication skill "," Ensure that all application development performed is in-line with the Software Development Life Cycle (SDLC) and IT Governance & MAS requirements Manage and address incidents and queries from users Ensure quality checks on risk management for application development deliverables Act as ""intermediary"" between Business Analyst and Developers including translating business requirement into functional specification, etc. Responsible for management updates on system related activities Understand functionalities and technical aspects of the system; analyze technical impact on interfacing systems Provide system design solution, development of system design and technical documents Programming and perform codes review Provide production support for batch cycles ",Professional,Technical Analyst,https://www.mycareersfuture.sg/job/72c154429784251add1245ae0b2b9949
MORGAN MCKINLEY PTE. LTD.,"Healthcare / Pharmaceutical, Information Technology",Business Analyst,8000,3000,"Role and Responsibilities:   Acting as the primary support contact for the application's end-users, after initial triage by help desk staff.  Identifying issues that arise in their application area as well as issues that impact other application teams, and working to resolve them.  Guiding workflow design, completing advanced build and testing of the system.  Identifying and implementing requested changes to the system configuration and cross-application master data files. Maintaining regular communication with vendor, including participating in weekly project team meetings  Working with vendor representatives and end users to ensure the system meets the organization's business needs in regards to the project deliverables and timeline Developing an understanding of operational and clinical needs to set the direction for the organization's workflows by attending discussion sessions. Troubleshooting advanced problems and questions  Reviewing the status of projects and issues on an ongoing basis with leadership  Holding weekly communications with team members to discuss the status of deliverable, shared issues, end-user concerns, budget, and upcoming milestones  Provide on-going application support and be involved in various stages of the SDLC.  Conduct user requirement analysis for the development / implementation of new systems and for enhancements to existing systems.  Evaluate potential solutions and make recommendations to resolve business problems.  Involvement in the system integration-testing phase prior to implementation. Plan and coordinate end-user training for any system implementations or enhancements.  Liaise closely with business users and build good rapport.  Liaise closely with vendors in project implementation, application testing, supporting application patches and upgrades in accordance with project methodologies and policies.  Support the team in defining project requirements, tracking and documentation.  Provide 24/7 primary application maintenance standby support.  Provide guidance and coaching to junior team members    If interested please send in your update resume to anchalbali@morganmckinley.com.sg EA License No: 11C5502 EA Registration No: R1324747","Assistant/ Lead Analyst (EMR)  Position Summary Application Analysts will serve as part of the primary support team for their designated application. They will take on more advanced issues that arise during the project for their application area and will take on more complex tasks with respect to system configuration, testing and administration.    Key competencies  Adaptability/flexibility with respect to changing end-user business needs Critical thinking and willingness to see things in an open-minded way and examine an idea or concept from as many angles as possible  Dependability and willingness to take ownership of work activities and ensure that they are completed in an accurate, efficient, and timely manner  Initiative to recognize assignments or tasks that need to be completed, to seek out additional assignments or tasks, and to help others  Interpersonal skills, particularly within the user group with which they will work to facilitate decisions and find solutions even amidst disagreeing stakeholders The ability to communicate information clearly and concisely with project leadership and subject matter experts Willingness to learn new software and systems  Listening attentively to ensure that the intended message has been accurately received, holding responses until the person has finished making their point, and repeating information to ensure accuracy  Seeking, logically examining, and interpreting information from different sources to determine a problem's cause and developing a course of action to resolve the problem and to prevent its recurrence  Relationship building to gain trust and establish effective relationships with vendor and stakeholders  Resilience to persevere in difficult situations, overcome obstacles, and reach high levels of performance when faced with stressful work situations and time pressures  Requirements:   Minimum 5-10 years of experience in developing, implementing and maintaining IT systems.  Successful record of accomplishment in project management, user and vendor management and as a project lead for small to mid-scale projects. Experience in MS Windows environment & application support.  Strong analytical skills and ability to work independently.  Experience in healthcare industry is an added advantage. Degree in Computer Science, Computer Engineering or IT equivalent.   ","Middle Management, Executive, Senior Executive",Assistant /  Lead Analyst,https://www.mycareersfuture.sg/job/db9a731648d53994fe3408e5e7eacb68
SCIENTE CONSULTING PTE. LTD.,Banking and Finance,Business Analyst,5000,4000,"Desired Skill-set  Banking / Financial experiences preferred; SAS certified.  Responsibilities  Create analytic data marts to facilitate model development effort; Identify, profile and analyze data variables; Develop data pipeline and create analytic datasets for analytical purpose; Work with Model Developer on solution to identify and resolve data abnormalities; Perform data wrangling to facilitate analytical efforts; Perform other ad hoc tasks or participate in assigned projects where applicable. ","Job Summary We are looking for an energetic Data Analyst to join our client in the Financial industry. Mandatory Skill-set  Degree or Diploma in Computer Science, Computer Engineering, Information Technology or related field; At least 2 - 4 years of experience in the business modelling and / or data analysis; Strong critical logic and proved problem-solving experience; Some understanding of credit risks and the different risk dimensions/prisms is preferred; Highly proficient with data wrangling, analytic, transformation using programming tools such as SAS; Good knowledge of SAS is required; Highly organized and flexible in prioritizing various competing work demands; Excellent communication (both written and oral) skills; Able to work both independently and as part of a team. ",Senior Executive,Senior Data Analyst (JD#4041),https://www.mycareersfuture.sg/job/bdd6e2ecbe70b79da3c81bec57a7565e
